























/ability	赋予或剥夺玩家的能力。
/alwaysday	/daylock的替代命令，锁定或解锁日夜循环。
/camera	切换到自定义相机视角并淡出屏幕。
/camerashake	启用镜头抖动效果。
/changesetting	更改一个正在运行的服务器的设置。
/clear	从玩家物品栏中删除物品。
/clearspawnpoint	从世界中移除出生点。
/clone	将特定区域的方块复制到另一处。
/connect	/wsserver的替代命令，连接至一个WebSocket服务器。
/damage	对指定实体造成伤害。
/daylock	/alwaysday的替代命令，锁定或解锁日夜循环。
/dedicatedwsserver	尝试连接一个WebSocket服务器。
/deop	撤销玩家的管理员权限。
/dialogue	打开一个玩家的NPC对话。
/difficulty	设置难度等级。
/effect	添加或移除状态效果。
/enchant	附魔玩家的物品。
/event	用于触发一个实体的事件。
/execute	更改执行环境的情况下执行另一条命令。
/fill	在某个区域填充特定方块。
/fog	用于更改玩家当前的雾设置。
/function	运行一个函数。
/gamemode	更改玩家的游戏模式。
/gamerule	更改或查询游戏规则。
/gametest	用于测试GameTest功能。
/give	给予玩家物品。
/help	提供命令使用帮助。
/hud	修改HUD的可见性。
/immutableworld	设置世界的不可变状态。
/inputpermission	对玩家的权限状态进行指定操作。
/kick	将玩家踢出服务器。
/kill	清除实体（玩家、生物、掉落物等）。
/list	列出服务器中的玩家。
/locate	显示最近的给定结构、生物群系
/loot	将指定的战利品放入物品栏或世界。
/me	显示一条关于自己的信息。
/mobevent	控制或查询允许运行的生物事件。
/msg	/tell和/w的替代命令，向另一玩家发送私信。
/music	设置玩家是否能控制当前播放的音乐。
/op	授予玩家管理员权限。
/ops	/permission的替代命令，重载并应用权限。
/particle	创建粒子。
/permission	/ops的替代命令，重载并应用权限。
/playanimation	运行一次特定动作。
/playsound	播放音效。
/recipe	给予或剥夺合成配方。
/reload	从硬盘中重新加载战利品表、进度和函数。
/replaceitem	替换物品栏中的物品。
/ride	控制一个实体的骑行状态。
/save	准备备份，查询其状态或恢复。
/say	向多个玩家发送消息。
/schedule	安排函数在特定的游戏刻后运行。
/scoreboard	管理记分板的目标、玩家和队伍。
/script	调试GameTest框架选项。
/scriptevent	通过ID和消息来触发脚本事件。
/setblock	将方块替换为其他方块。
/setmaxplayers	设置可加入游戏的玩家数量上限。
/setworldspawn	设置世界出生点。
/spawnpoint	设置一个玩家的出生地点。
/spreadplayers	将实体传送到随机位置。
/stop	关闭服务器。
/stopsound	停止音效。
/structure	无需结构方块即可保存和加载结构。
/summon	生成一个实体。
/tag	修改实体的标签。
/teleport	/tp的替代命令，传送实体。
/tell	/msg和/w的替代命令，向另一个玩家发送私信。
/tellraw	向玩家显示JSON消息。
/testfor	统计符合给定条件的实体。
/testforblock	检测某方块是否在某位置。
/testforblocks	检测两个区域中的方块是否相同。
/tickingarea	添加、删除或列出常加载区域。
/time	更改或查询游戏中的世界时间。
/title	管理屏幕上的标题。
/titleraw	使用JSON管理屏幕上的标题。
/toggledownfall	切换天气。
/tp	/teleport的替代命令，传送实体。
/transfer	将玩家转移到另一个服务器上。
/volumearea	添加、删除或列出功能域。[失效：BE 1.21.20]
/w	/tell和/msg的替代命令，向另一玩家发送私信。
/wb	/worldbuilder的替代命令，给予能编辑受限制方块的能力。
/weather	设置天气。
/whitelist	管理服务器白名单。
/worldbuilder	/wb的替代命令，给予能编辑受限制方块的能力。
/wsserver	/connect的替代命令，连接至WebSocket服务器。
/xp	/experience的替代命令[仅Java版]，增加或减少一个玩家的经验。

apple	苹果
golden_apple	金苹果
