stone	石头
grass	草方块
dirt	泥土
cobblestone	圆石
planks	木板
sapling	树苗
bedrock	基岩
flowing_water	水
water	静态水
flowing_lava	熔岩
lava	静态熔岩
sand	沙子
gravel	沙砾
gold_ore	金矿石
iron_ore	铁矿石
coal_ore	煤矿石
oak_log	橡木原木
leaves	树叶
sponge	海绵
glass	玻璃
lapis_ore	青金石矿石
lapis_block	青金石块
dispenser	发射器
sandstone	砂岩
noteblock	音符盒
bed	床
golden_rail	动力铁轨
detector_rail	探测铁轨
sticky_piston	黏性活塞
web	蜘蛛网
tallgrass	草
deadbush	枯萎的灌木
piston	活塞
piston_arm_collision	活塞臂
white_wool	白色羊毛
yellow_flower	蒲公英
red_flower	花
brown_mushroom	棕色蘑菇
red_mushroom	红色蘑菇
gold_block	金块
iron_block	铁块
double_stone_slab	双石台阶
stone_slab	石台阶
brick_block	红砖块
tnt	TNT
bookshelf	书架
mossy_cobblestone	苔石
obsidian	黑曜石
torch	火把
fire	火
mob_spawner	刷怪笼
oak_stairs	橡木楼梯
chest	箱子
redstone_wire	红石线
diamond_ore	钻石矿石
diamond_block	钻石块
crafting_table		工作台
wheat	小麦
farmland	耕地
furnace	熔炉
lit_furnace	燃烧的熔炉
standing_sign	橡木告示牌
wooden_door	橡木门
ladder	梯子
rail	铁轨
stone_stairs	圆石楼梯
wall_sign	墙上的橡木告示牌
lever	拉杆
stone_pressure_plate	石头压力板
iron_door	铁门
wooden_pressure_plate	木质压力板
redstone_ore	红石矿石
lit_redstone_ore		发光的红石矿石
unlit_redstone_torch		熄灭的红石火把
redstone_torch		红石火把
stone_button		石头按钮
snow_layer		顶层雪
ice		冰
snow		雪
cactus		仙人掌
clay		黏土
reeds		甘蔗
jukebox		唱片机
oak_fence		橡木栅栏
pumpkin		南瓜
netherrack		下界岩
soul_sand		灵魂沙
glowstone	荧石
portal	下界传送门
lit_pumpkin	南瓜灯
cake	蛋糕
unpowered_repeater	未激活的中继器
powered_repeater	激活的中继器
invisible_bedrock	隐形基岩
trapdoor	活板门
monster_egg	虫蚀方块
stonebrick	石砖
brown_mushroom_block	棕色蘑菇方块
red_mushroom_block	红色蘑菇方块
iron_bars	铁栏杆
glass_pane	玻璃板
melon_block	西瓜
pumpkin_stem	南瓜梗
melon_stem	西瓜梗
vine	藤蔓
fence_gate	橡木栅栏门
brick_stairs	红砖楼梯
stone_brick_stairs	石砖楼梯
mycelium	菌丝体
waterlily	睡莲
nether_brick	下界砖
nether_brick_fence	下界砖栅栏
nether_brick_stairs	下界砖楼梯
nether_wart	下界疣
enchanting_table	附魔台
brewing_stand	酿造台
cauldron	炼药锅
end_portal	末地传送门
end_portal_frame	末地传送门框架
end_stone	末地石
dragon_egg	龙蛋
redstone_lamp	红石灯
lit_redstone_lamp	点亮的红石灯
dropper	投掷器
activator_rail	激活铁轨
cocoa	可可果
sandstone_stairs	砂岩楼梯
emerald_ore	绿宝石矿石
ender_chest	末影箱
tripwire_hook	绊线钩
trip_wire	绊线
emerald_block	绿宝石块
spruce_stairs	云杉木楼梯
birch_stairs	白桦木楼梯
jungle_stairs	丛林木楼梯
command_block	脉冲型命令方块
beacon	信标
cobblestone_wall	墙
flower_pot	花盆
carrots	胡萝卜
potatoes	马铃薯
wooden_button	橡木按钮
skull	生物头颅
anvil	铁砧
trapped_chest	陷阱箱
light_weighted_pressure_plate	测重压力板（轻质）
heavy_weighted_pressure_plate	测重压力板（重质）
unpowered_comparator	未激活的比较器
powered_comparator	激活的比较器
daylight_detector	阳光探测器
redstone_block	红石块
quartz_ore	下界石英矿石
hopper	漏斗
quartz_block	石英块
quartz_stairs	石英楼梯
double_wooden_slab	双层木台阶
wooden_slab	木质台阶
stained_hardened_clay	染色陶瓦
stained_glass_pane	染色玻璃板
leaves2	树叶2
acacia_log	金合欢原木
acacia_stairs	金合欢木楼梯
dark_oak_stairs	深色橡木楼梯
slime	黏液块
iron_trapdoor	铁活板门
prismarine	海晶石
sea_lantern	海晶灯
hay_block	干草捆
white_carpet	白色地毯
hardened_clay	陶瓦
coal_block	煤炭块
packed_ice	浮冰
double_plant	双层植物
standing_banner	站立的旗帜
wall_banner	墙上的旗帜
daylight_detector_inverted	反向阳光探测器
red_sandstone	红砂岩
red_sandstone_stairs	红砂岩楼梯
double_stone_block_slab	双石台阶
stone_slab	石台阶
spruce_fence_gate	云杉木栅栏门
birch_fence_gate	白桦木栅栏门
jungle_fence_gate	丛林木栅栏门
dark_oak_fence_gate	深色橡木栅栏门
acacia_fence_gate	金合欢木栅栏门
repeating_command_block	循环型命令方块
chain_command_block	连锁型命令方块
hard_glass_pane	强化玻璃板
hard_stained_glass_pane	染色强化玻璃板
chemical_heat	加热块
spruce_door	云杉木门
birch_door	白桦木门
jungle_door	丛林木门
acacia_door	金合欢木门
dark_oak_door	深色橡木门
grass_path	草径
frame	物品展示框
chorus_flower	紫颂花
purpur_block	紫珀块
colored_torch_rg	红色火把
purpur_stairs	紫珀楼梯
colored_torch_bp	蓝色火把
undyed_shulker_box	未染色的潜影盒
end_bricks	末地石砖
frosted_ice	霜冰
end_rod	末地烛
end_gateway	末地折跃门
allow	允许方块
deny	拒绝方块
border_block	边界方块
magma	岩浆块
nether_wart_block	下界疣块
red_nether_brick	红色下界砖块
bone_block	骨块
structure_void	结构空位
shulker_box	潜影盒
purple_glazed_terracotta	紫色带釉陶瓦
white_glazed_terracotta	白色带釉陶瓦
orange_glazed_terracotta	橙色带釉陶瓦
magenta_glazed_terracotta	品红色带釉陶瓦
light_blue_glazed_terracotta	淡蓝色带釉陶瓦
yellow_glazed_terracotta	黄色带釉陶瓦
lime_glazed_terracotta	黄绿色带釉陶瓦
pink_glazed_terracotta	粉红色带釉陶瓦
gray_glazed_terracotta	灰色带釉陶瓦
silver_glazed_terracotta	淡灰色带釉陶瓦
cyan_glazed_terracotta	青色带釉陶瓦
chalkboard	黑板
blue_glazed_terracotta	蓝色带釉陶瓦
brown_glazed_terracotta	棕色带釉陶瓦
green_glazed_terracotta	绿色带釉陶瓦
red_glazed_terracotta	红色带釉陶瓦
black_glazed_terracotta	黑色带釉陶瓦
concrete	混凝土
concrete_powder	混凝土粉末
chemistry_table	化合物创建器
underwater_torch	水下火把
chorus_plant	紫颂植株
stained_glass	染色玻璃
camera	相机
podzol	灰化土
beetroot	甜菜根
stonecutter	切石机
glowingobsidian	发光的黑曜石
netherreactor	下界反应核
oving_block	被活塞推动的方块
observer	侦测器
structure_block	结构方块
hard_glass	强化玻璃
hard_stained_glass	强化染色玻璃
prismarine_stairs	海晶石楼梯
dark_prismarine_stairs	暗海晶石楼梯
prismarine_bricks_stairs	海晶石砖楼梯
stripped_spruce_log	去皮云杉原木
stripped_birch_log	去皮白桦原木
stripped_jungle_log	去皮丛林原木
stripped_acacia_log	去皮金合欢原木
stripped_dark_oak_log	去皮深色橡木原木
stripped_oak_log	去皮橡木原木
blue_ice	蓝冰
seagrass	海草
tube_coral	管珊瑚
coral_block	珊瑚块
coral_fan	珊瑚扇
coral_fan_dead	失活的珊瑚扇
coral_fan_hang	墙上的珊瑚扇
coral_fan_hang	墙上的珊瑚扇
coral_fan_hang	墙上的珊瑚扇
kelp	海带
dried_kelp_block	干海带块
acacia_button	金合欢木按钮
birch_button	白桦木按钮
dark_oak_button	深色橡木按钮
jungle_button	丛林木按钮
spruce_button	云杉木按钮
acacia_trapdoor	金合欢木活板门
birch_trapdoor	白桦木活板门
dark_oak_trapdoor	深色橡木活板门
jungle_trapdoor	丛林木活板门
spruce_trapdoor	云杉木活板门
acacia_pressure_plate	金合欢木压力板
birch_pressure_plate	白桦木压力板
dark_oak_pressure_plate	深色橡木压力板
jungle_pressure_plate	丛林木压力板
spruce_pressure_plate	云杉木压力板
carved_pumpkin	雕刻南瓜
sea_pickle	海泡菜
conduit	潮涌核心
air	空气
turtle_egg	海龟蛋
bubble_column	气泡柱
barrier	屏障
stone_slab	石台阶
bamboo	竹子
bamboo_sapling	竹笋
scaffolding	脚手架
